poi_id,lat,lng,name,parking,access,capacity_osm
node/9949450643,43.0813541,141.3090654,三井のリパーク,multi-storey,,73
node/9950259192,43.0778044,141.3051919,タイムズ,multi-storey,,14
node/9950288507,43.1082057,141.3399223,タイムズ,multi-storey,,326
node/10095286778,43.0643682,141.3305819,三井のリパーク,multi-storey,,110
node/10188151756,43.1240915,141.2794387,,,customers,
node/10673369415,43.0529594,141.3528885,タイムズ,surface,yes,
node/10674905656,43.0511258,141.3527209,タイムズ,,,
node/11134318196,43.0527293,141.3848848,三井のリパーク イオン東札幌店屋上駐車場,surface,customers,231
node/11710693440,43.1254695,141.2429975,,,,
node/12137220801,43.1967736,140.982413,旭展望台駐車場,,,
node/12559912893,43.0475187,141.35195,,underground,,
node/12565601914,43.0476508,141.3520701,,underground,,
node/12824888198,43.0475609,141.3459712,トラストパーク札幌南9条,multi-storey,customers,
node/13566445658,43.063792,141.3548326,,,,
way/32530626,43.122541,141.4294356,,,,
way/32530651,43.1201719,141.4223834,,,,
way/38562425,43.1280766,141.4194217,,,,
way/38562437,43.1180993,141.4299166,,,,
way/83806531,43.077147,141.4011666,,,customers,
way/104291194,43.0957591,141.4292009,,,,
way/104301761,43.0922086,141.3991512,,,customers,
way/104588231,43.0954179,141.3821567,,surface,customers,
way/114549919,43.0574767,141.3870127,札幌コンベンションセンター第3立体駐車場,multi-storey,customers,
way/114939600,43.0536008,141.3833862,エナジーパーキング,multi-storey,yes,
way/114954878,43.057748,141.3886002,札幌コンベンションセンター第１平面駐車場,surface,customers,
way/114954881,43.0579668,141.3877343,札幌コンベンションセンター第2平面駐車場,surface,customers,
way/114954882,43.0564354,141.3855312,札幌市産業振興センター駐車場,surface,customers,
way/114954884,43.0555244,141.3861513,,surface,customers,
way/114954886,43.0557331,141.3855557,,surface,private,
way/115307713,43.0520784,141.3871239,,surface,private,
way/115307735,43.0524035,141.3862607,,surface,customers,
way/115349390,43.053865,141.386994,,,,
way/115572963,43.0588605,141.3883189,,,,
way/115572965,43.0570477,141.3849128,,,,
way/115572969,43.0593799,141.3890324,,,,
way/116777560,43.0652288,141.3523292,,multi-storey,,
way/116777883,43.0641404,141.3522026,第2 タキカワ パーキング,multi-storey,,
way/127095003,43.0160306,141.4080127,,surface,,
way/127095005,43.0136772,141.4081925,,surface,,
way/154413677,43.065681,141.3482677,,multi-storey,yes,
way/154415715,43.0395931,141.4728593,D-Parking,surface,,
way/154431782,43.0578483,141.3385066,三井のリパーク,surface,,29
way/154444589,43.0579807,141.3513726,,surface,,
way/154444594,43.0575782,141.34845,2.6Windパーキング,surface,,
way/154444602,43.0580755,141.3481631,タイムズ,surface,,33
way/154459470,43.0343935,141.4604496,,,customers,
way/154467857,43.047996,141.4945654,,,,
way/154467858,43.0515284,141.4965273,一般用 駐車場,surface,yes,
way/154467875,43.053784,141.4925359,公園案内書側駐車場,surface,,
way/154470764,43.0791672,141.3580103,,surface,customers,
